港,gang3/hong4,G
杠,gang1/gong1/gang4,G
篙,gao1,G
皋,gao1/hao2/gu1,G
高,gao1/gao4,G
膏,gao1/gao4,G
羔,gao1,G
糕,gao1,G
搞,gao3/qiao1/kao4,G
镐,gao3/hao4,G
稿,gao3,G
告,gao4/ju1/gu4,G
哥,ge1,G
歌,ge1,G
搁,ge1/ge2,G
戈,ge1,G
鸽,ge1,G
胳,ge1/ge2/ga1,G
疙,ge1/yi4,G
割,ge1,G
革,ge2/ji2,G
葛,ge2/ge3,G
格,ge2/luo4/he4/ge1,G
蛤,ha2/ge2/ha1/e2,H
阁,ge2,G
隔,ge2/rong3/ji1,G
铬,ge4,G
个,ge4/gan4/ge3,G
各,ge4/ge3,G
给,gei3/ji3,G
根,gen1,G
跟,gen1,G
耕,geng1,G
更,geng4/geng1,G
庚,geng1,G
羹,geng1/lang2,G
埂,geng3,G
耿,geng3,G
梗,geng3,G
工,gong1,G
攻,gong1,G
功,gong1,G
恭,gong1,G
龚,gong1,G
供,gong1/gong4,G
躬,gong1,G
公,gong1,G
宫,gong1,G
弓,gong1,G
巩,gong3,G
汞,gong3,G
拱,gong3/ju4,G
贡,gong4,G
共,gong4/gong1/gong3/hong2,G
钩,gou1,G
勾,gou1/gou4,G
沟,gou1,G
苟,gou3/gou1,G
狗,gou3,G
垢,gou4,G
构,gou4,G
购,gou4,G
够,gou4,G
辜,gu1,G
菇,gu1,G
咕,gu1/gu,G
箍,gu1,G
估,gu1/gu4,G
沽,gu1/gu3,G
孤,gu1,G
姑,gu1,G
鼓,gu3,G
古,gu3/gu4/ku1,G
蛊,gu3,G
骨,gu3/gu2/gu1,G
谷,gu3/lu4/yu4,G
股,gu3,G
故,gu4,G
顾,gu4,G
固,gu4,G
雇,gu4/hu4,G
刮,gua1,G
瓜,gua1,G
剐,gua3,G
寡,gua3,G
挂,gua4,G
褂,gua4,G
乖,guai1,G
拐,guai3,G
怪,guai4,G
棺,guan1/guan4,G
关,guan1,G
官,guan1,G
冠,guan1/guan4,G
观,guan1/guan4,G
管,guan3,G
馆,guan3,G
罐,guan4,G
惯,guan4,G
灌,guan4/huan4,G
贯,guan4,G
光,guang1/guang4,G
广,guang3/yan3/an1,G
逛,guang4/kuang2,G
瑰,gui1,G
规,gui1,G
圭,gui1,G
硅,gui1/he4,G
归,gui1,G
龟,gui1/jun1/qiu1,G
闺,gui1,G
轨,gui3,G
鬼,gui3,G
诡,gui3,G
癸,gui3,G
